Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
10/21/1991,36,PM10,,17-019-0005,AQS,.,.,23,36,
10/22/1991,23,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,23,.,
10/23/1991,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,3,.,
10/24/1991,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,.,.,
10/25/1991,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,0,.,
10/26/1991,14,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,0,.,
10/27/1991,11,PM10,,17-019-0005,AQS,6,.,0,11,
10/28/1991,3,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,3,.,0,.,
10/29/1991,16,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,16,.,
10/30/1991,3,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,3,.,0,.,
10/31/1991,6,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,4,.,
11/01/1991,21,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,21,.,
11/02/1991,23,PM10,,17-019-0005,AQS,22,.,0,23,
11/03/1991,22,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,22,.,0,.,
11/04/1991,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,13,.,
11/05/1991,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,16,.,
11/06/1991,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,4,.,
11/07/1991,21,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,21,.,
11/08/1991,34,PM10,,17-019-0005,AQS,19,.,14,34,
11/09/1991,44,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,44,.,
11/10/1991,30,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,30,.,
11/11/1991,23,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,23,.,
11/12/1991,7,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,4,.,
11/13/1991,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,14,.,
11/14/1991,37,PM10,,17-019-0005,AQS,22,.,13,37,
11/15/1991,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,6,.,
11/16/1991,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,3,.,
11/17/1991,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,14,.,
11/18/1991,23,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,23,.,4,.,
11/19/1991,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,1,.,
11/20/1991,19,PM10,,17-019-0005,AQS,7,.,6,19,
11/21/1991,11,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,9,.,
11/22/1991,19,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,19,.,
11/23/1991,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,3,.,
11/24/1991,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,0,.,
11/25/1991,16,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,7,.,
11/26/1991,37,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,37,27,
11/27/1991,10,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,9,.,
11/28/1991,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,6,.,
11/29/1991,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,7,.,
11/30/1991,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,0,.,
12/01/1991,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,3,.,
12/02/1991,20,PM10,,17-019-0005,AQS,9,.,4,20,
12/03/1991,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,3,.,
12/04/1991,20,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,.,.,
12/05/1991,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,.,.,
12/06/1991,12,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,7,.,
12/07/1991,26,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,26,.,
12/08/1991,19,PM10,,17-019-0005,AQS,17,.,4,19,
12/09/1991,13,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,13,.,
12/10/1991,34,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,34,.,
12/11/1991,19,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,19,.,
12/12/1991,13,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,13,.,
12/13/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,10,.,
12/15/1991,18,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,17,.,
12/16/1991,33,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,12,.,33,.,
12/17/1991,17,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,17,.,
12/18/1991,16,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,16,.,
12/19/1991,50,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,50,.,
12/20/1991,54,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,54,39,
12/21/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,10,.,
12/22/1991,11,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,11,.,
12/23/1991,10,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,10,.,
12/24/1991,9,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,9,.,
12/25/1991,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
12/26/1991,26,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,26,26,
12/27/1991,20,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,20,.,
12/28/1991,11,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,11,.,
12/29/1991,14,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,14,.,
12/30/1991,13,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,.,.,
12/31/1991,85,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,10,.,85,.,
01/01/1992,65,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,6,.,65,27,
